Section,Section Title,Lecture #,Lecture Title,Published,Description,Video,Video & Slide Mashup,Article,Content Uploaded,Captions,Resources,Lab
Unpublished Section,Katakana - Special Characters & Advanced Writing,-,"Katakana Special Characters: Long Vowels, Double Consonants & Combinations",No,Yes,No,No,No,No,No,No,No
Section 1,Introduction,-,Katakana Mastery Quiz: Read & Write Full Katakana Chart,No,Yes,No,No,No,No,No,No,No
Section 1,Introduction,1,Welcome to the Course,Yes,Yes,No,No,No,No,No,Yes,No
Section 1,Introduction,2,Overview of the Japanese Language & Course Structure,Yes,Yes,No,No,No,No,No,Yes,No
Section 1,Introduction,3,How to Use This Course & Study Tips,Yes,Yes,No,No,No,No,No,Yes,No
Section 1,Introduction,-,"Reading Real Loanwords: Food, Technology, Fashion & Daily Life",No,Yes,No,No,No,No,No,No,No
Section 2,Hiragana - The Foundation of Japanese Writing,4,"Hiragana: K, S, T, N Rows with Mnemonics",Yes,Yes,No,No,No,No,No,Yes,No
Section 2,Hiragana - The Foundation of Japanese Writing,5,"Introduction to Hiragana: Vowels (a, i, u, e, o)",Yes,Yes,No,No,No,No,No,Yes,No
Section 2,Hiragana - The Foundation of Japanese Writing,6,"Hiragana: H, M, Y, R, W Rows & Full Chart Review",Yes,Yes,No,No,No,No,No,Yes,No
Section 2,Hiragana - The Foundation of Japanese Writing,7,"Dakuten, Handakuten & Combination Hiragana Characters",Yes,Yes,No,No,No,No,No,Yes,No
Section 2,Hiragana - The Foundation of Japanese Writing,8,Hiragana Mastery Quiz: Read & Write Full Hiragana,Yes,Yes,No,No,No,No,No,Yes,No
Section 3,Katakana - Reading Foreign Words & Loanwords,9,Introduction to Katakana & How It Differs from Hiragana,Yes,Yes,No,No,No,No,No,Yes,No
Section 3,Katakana - Reading Foreign Words & Loanwords,10,Katakana: All Rows with Mnemonics & Stroke Order,Yes,Yes,No,No,No,No,No,Yes,No
Section 3,Katakana - Reading Foreign Words & Loanwords,11,Katakana Special Characters: Long Vowels & Double Consonants,Yes,Yes,No,No,No,No,No,Yes,No
Section 3,Katakana - Reading Foreign Words & Loanwords,12,Reading Real Loanwords in Daily Life & Media,Yes,Wrong,No,No,No,No,No,Yes,No
Section 3,Katakana - Reading Foreign Words & Loanwords,13,Katakana Mastery Quiz: Full Chart Reading & Writing Test,Yes,Yes,No,No,No,No,No,Yes,No
Section 4,Basic Grammar & Japanese Sentence Structure,14,Japanese Sentence Order: Subject-Object-Verb (SOV) Structure,Yes,Yes,No,No,No,No,No,Yes,No
Section 4,Basic Grammar & Japanese Sentence Structure,15,"Verb Groups: U-Verbs, Ru-Verbs & Irregular Verbs",Yes,Yes,No,No,No,No,No,Yes,No
Section 4,Basic Grammar & Japanese Sentence Structure,16,Adjectives: I-Adjectives vs. Na-Adjectives in Sentences,Yes,Wrong,No,No,No,No,No,Yes,No
Section 4,Basic Grammar & Japanese Sentence Structure,17,"Essential Particles: は, が, を, に, で, と, へ, の, も",Yes,Yes,No,No,No,No,No,Yes,No
Section 4,Basic Grammar & Japanese Sentence Structure,18,Grammar Practice: Building Simple Sentences & Common Patterns Quiz,Yes,Yes,No,No,No,No,No,Yes,No
Section 5,"Numbers, Time & Dates in Japanese",19,"Japanese Numbers 1-10,000: Counting Systems & Kanji Numbers",Yes,Yes,No,No,No,No,No,Yes,No
Section 5,"Numbers, Time & Dates in Japanese",20,"Japanese Counters: Counting People, Objects, Animals & More",Yes,Yes,No,No,No,No,No,Yes,No
Section 5,"Numbers, Time & Dates in Japanese",21,"Telling Time in Japanese: Hours, Minutes & Daily Schedule",Yes,Yes,No,No,No,No,No,Yes,No
Section 5,"Numbers, Time & Dates in Japanese",22,"Days, Weeks, Months & Dates: Japanese Calendar System",Yes,Yes,No,No,No,No,No,Yes,No
Section 5,"Numbers, Time & Dates in Japanese",23,"Numbers & Time Practice: Scheduling, Shopping Prices & Age",Yes,Yes,No,No,No,No,No,Yes,No
Section 6,Essential Vocabulary for Everyday Life,24,"Greetings, Introductions & Polite Expressions",Yes,Yes,No,No,No,No,No,Yes,No
Section 6,Essential Vocabulary for Everyday Life,25,Food & Drink: Ordering at Restaurants & Cafes,Yes,Yes,No,No,No,No,No,Yes,No
Section 6,Essential Vocabulary for Everyday Life,26,"Shopping, Prices & Directions: Getting Around Japan",Yes,Yes,No,No,No,No,No,Yes,No
